session,scan,Type,Group,Acc,Std,Chance,N_neurons,N_sub,brain_area,depth_bin,cell_type,recall_Cinematic,recall_Rendered,recall_sports1m
6,6,Area,LM,0.6225290498974709,0.011835944520151631,0.3593506493506493,979,291,LM,,,0.59375,0.634375,0.640625
6,6,Area,RL,0.5676828434723171,0.020362584798843217,0.34634313055365684,800,291,RL,,,0.559375,0.5546875,0.5828125
6,6,Area,V1,0.5953861927546138,0.014902581629190538,0.34954203691045793,5905,291,V1,,,0.6234375,0.55,0.6171875
6,6,Depth,110um,0.6131442241968558,0.013787310582233796,0.3269993164730007,1914,1248,,110.0,,0.6203125,0.5796875,0.6375
6,6,Depth,250um,0.6853793574846206,0.027645117454533998,0.3479699248120301,2603,1248,,250.0,,0.684375,0.6796875,0.696875
6,6,Depth,390um,0.729753930280246,0.014164101169806827,0.33382775119617225,2281,1248,,390.0,,0.7328125,0.6953125,0.7609375
6,6,Area x Depth,AL_110um,0.41921394395078604,0.018640326430686752,0.3270676691729323,30,20,AL,110.0,,0.3953125,0.325,0.5359375
6,6,Area x Depth,AL_250um,0.44995215311004777,0.027452486627926348,0.34791524265208473,108,20,AL,250.0,,0.421875,0.471875,0.465625
6,6,Area x Depth,AL_390um,0.4593164730006835,0.014368683766389419,0.3609637730690362,102,20,AL,390.0,,0.4546875,0.4015625,0.521875
6,6,Area x Depth,AL_530um,0.4135201640464798,0.02272878465926179,0.32871496924128507,47,20,AL,530.0,,0.4375,0.3625,0.434375
6,6,Area x Depth,LM_110um,0.43959671907040326,0.0429119622013256,0.3207723855092276,106,20,LM,110.0,,0.4609375,0.371875,0.4890625
6,6,Area x Depth,LM_250um,0.428714969241285,0.01603808967493901,0.3432740943267259,351,20,LM,250.0,,0.3578125,0.5046875,0.428125
6,6,Area x Depth,LM_390um,0.5244771018455229,0.04729367911679392,0.3323376623376623,352,20,LM,390.0,,0.50625,0.4921875,0.5859375
6,6,Area x Depth,LM_530um,0.4323308270676692,0.01809784079585724,0.32760765550239235,170,20,LM,530.0,,0.4375,0.4234375,0.44375
6,6,Area x Depth,RL_110um,0.4120095693779905,0.03611715269631766,0.3349213943950786,143,20,RL,110.0,,0.325,0.4109375,0.5078125
6,6,Area x Depth,RL_250um,0.434354066985646,0.029646327128749934,0.33956937799043063,301,20,RL,250.0,,0.3890625,0.434375,0.4671875
6,6,Area x Depth,RL_390um,0.4536842105263158,0.028059398572750652,0.3380724538619275,239,20,RL,390.0,,0.4359375,0.446875,0.4890625
6,6,Area x Depth,RL_530um,0.4286602870813397,0.03717836872796765,0.3364183185235817,117,20,RL,530.0,,0.3515625,0.4734375,0.4703125
6,6,Area x Depth,V1_110um,0.4354272043745729,0.011074943103151482,0.3427272727272727,1635,20,V1,110.0,,0.403125,0.4703125,0.4046875
6,6,Area x Depth,V1_250um,0.44164046479835956,0.025411163992240377,0.32397812713602187,1843,20,V1,250.0,,0.415625,0.4265625,0.4828125
6,6,Area x Depth,V1_390um,0.4677922077922078,0.05826557346816228,0.33866712235133284,1588,20,V1,390.0,,0.4609375,0.4171875,0.5328125
6,6,Area x Depth,V1_530um,0.4343472317156528,0.040122161519453074,0.3447573479152427,839,20,V1,530.0,,0.39375,0.434375,0.4828125
6,6,CellType,23P,0.4796787423103212,0.025482255064382307,0.33537252221462743,775,75,,,23P,0.4671875,0.4609375,0.5
6,6,CellType,4P,0.5238892686261107,0.012013694340515985,0.34838687628161313,134,75,,,4P,0.53125,0.4734375,0.559375
6,6,CellType,5P-IT,0.510956937799043,0.036868527612598734,0.33385509227614496,327,75,,,5P-IT,0.509375,0.484375,0.546875
6,6,CellType,5P-ET,0.4588995215311004,0.02685535392327843,0.32289815447710185,42,20,,,5P-ET,0.4,0.4765625,0.509375
