session,scan,Type,Group,Acc,Std,Chance,N_neurons,N_sub,brain_area,depth_bin,cell_type,recall_Cinematic,recall_Rendered,recall_sports1m
6,4,Area,AL,0.6198906356801093,0.005977012725272452,0.3348325358851675,317,291,AL,,,0.6171875,0.5515625,0.690625
6,4,Area,LM,0.6485372522214627,0.033040908954295865,0.32921394395078607,1027,291,LM,,,0.671875,0.60625,0.6671875
6,4,Area,RL,0.6109842788790157,0.033316073584724125,0.3255775803144224,878,291,RL,,,0.6203125,0.5546875,0.6578125
6,4,Area,V1,0.6156937799043063,0.03769147491028679,0.3312166780587833,5999,291,V1,,,0.6078125,0.578125,0.6625
6,4,Depth,115um,0.692781954887218,0.011034492873090199,0.3641831852358168,2118,1248,,115.0,,0.7203125,0.646875,0.703125
6,4,Depth,255um,0.7100956937799043,0.013959950880862621,0.36412166780587824,2679,1248,,255.0,,0.7125,0.646875,0.759375
6,4,Depth,395um,0.7678058783321942,0.010652544057939667,0.33130553656869444,2182,1248,,395.0,,0.796875,0.703125,0.8046875
6,4,Area x Depth,AL_115um,0.4964456596035543,0.0212569973491249,0.3323103212576897,46,20,AL,115.0,,0.4484375,0.43125,0.603125
6,4,Area x Depth,AL_255um,0.47308954203691045,0.017341991946665247,0.33733424470266576,119,20,AL,255.0,,0.4203125,0.4203125,0.5765625
6,4,Area x Depth,AL_395um,0.4921872863978127,0.030634583579449294,0.31871496924128506,112,20,AL,395.0,,0.475,0.4,0.60625
6,4,Area x Depth,AL_535um,0.42766917293233087,0.019927439273682773,0.31771701982228295,40,20,AL,535.0,,0.4453125,0.328125,0.509375
6,4,Area x Depth,LM_115um,0.44629528366370463,0.017609618940977376,0.34272043745727954,156,20,LM,115.0,,0.4390625,0.425,0.484375
6,4,Area x Depth,LM_255um,0.47394395078605606,0.02262041288185815,0.3515516062884484,369,20,LM,255.0,,0.4515625,0.43125,0.5375
6,4,Area x Depth,LM_395um,0.5109706083390294,0.017152578566388316,0.3224470266575529,326,20,LM,395.0,,0.5234375,0.4296875,0.5765625
6,4,Area x Depth,LM_535um,0.48759398496240597,0.02419379515767791,0.3296445659603554,176,20,LM,535.0,,0.45625,0.459375,0.553125
6,4,Area x Depth,RL_115um,0.40679425837320576,0.046685621608595365,0.33020505809979495,199,20,RL,115.0,,0.4265625,0.3390625,0.4421875
6,4,Area x Depth,RL_255um,0.45052631578947366,0.04006027246080412,0.3245317840054682,305,20,RL,255.0,,0.49375,0.378125,0.475
6,4,Area x Depth,RL_395um,0.48391660970608336,0.025255389348038535,0.34845522898154474,235,20,RL,395.0,,0.515625,0.375,0.5671875
6,4,Area x Depth,RL_535um,0.43662337662337664,0.02311668302975778,0.33274777853725224,139,20,RL,535.0,,0.415625,0.340625,0.5609375
6,4,Area x Depth,V1_115um,0.4355228981544771,0.02255789882903147,0.330123034859877,1717,20,V1,115.0,,0.3546875,0.3703125,0.5703125
6,4,Area x Depth,V1_255um,0.44276144907723847,0.04708909424780271,0.33957621326042375,1886,20,V1,255.0,,0.390625,0.38125,0.5484375
6,4,Area x Depth,V1_395um,0.49697197539302806,0.02844689260592836,0.3390157211209842,1509,20,V1,395.0,,0.5046875,0.375,0.6171875
6,4,Area x Depth,V1_535um,0.43031442241968554,0.022868580487738877,0.3187833219412167,887,20,V1,535.0,,0.4453125,0.3125,0.5390625
6,4,CellType,23P,0.5021667805878332,0.015134368279362688,0.3519548872180451,737,75,,,23P,0.515625,0.4453125,0.5515625
6,4,CellType,4P,0.5270266575529734,0.024700971064650114,0.314149008885851,259,75,,,4P,0.5609375,0.4734375,0.5484375
6,4,CellType,5P-IT,0.5729801777170198,0.025732441282283705,0.3333356117566644,364,75,,,5P-IT,0.590625,0.5,0.6296875
6,4,CellType,5P-ET,0.4574572795625428,0.008805897193762725,0.33279562542720437,22,20,,,5P-ET,0.521875,0.3421875,0.5015625
