session,scan,Type,Group,Acc,Std,Chance,N_neurons,N_sub,brain_area,depth_bin,cell_type,recall_Cinematic,recall_Rendered,recall_sports1m
5,7,Area,AL,0.5141285030758715,0.023378118294307828,0.3447436773752563,403,291,AL,,,0.4390625,0.5421875,0.559375
5,7,Area,LM,0.5983048530416951,0.010461326573696975,0.33803144224196857,1066,291,LM,,,0.5609375,0.596875,0.63125
5,7,Area,RL,0.5334107997265892,0.021352803634337714,0.32711551606288447,892,291,RL,,,0.5296875,0.5234375,0.55
5,7,Area,V1,0.570833902939166,0.028239730818952907,0.33911825017088176,5777,291,V1,,,0.5734375,0.53125,0.6046875
5,7,Depth,140um,0.6396172248803828,0.019277635455700746,0.35416951469583047,2372,1248,,140.0,,0.6328125,0.628125,0.659375
5,7,Depth,280um,0.6634928229665072,0.005530590935119561,0.3348462064251538,2593,1248,,280.0,,0.6890625,0.6015625,0.7046875
5,7,Depth,420um,0.6958714969241285,0.003041072996960678,0.34060150375939846,1862,1248,,420.0,,0.70625,0.659375,0.7203125
5,7,Depth,560um,0.5645864661654135,0.009203365520776049,0.35462747778537246,1311,1248,,560.0,,0.5875,0.5421875,0.565625
5,7,Area x Depth,AL_140um,0.4556322624743677,0.02066661035532691,0.321784005468216,111,20,AL,140.0,,0.440625,0.440625,0.496875
5,7,Area x Depth,AL_280um,0.44789473684210523,0.013554473102752505,0.3551264524948735,139,20,AL,280.0,,0.3734375,0.3921875,0.58125
5,7,Area x Depth,AL_420um,0.46305536568694466,0.01245488605048047,0.3370403280929597,89,20,AL,420.0,,0.3921875,0.3953125,0.59375
5,7,Area x Depth,AL_560um,0.4046274777853725,0.03151934586083134,0.34121667805878336,64,20,AL,560.0,,0.3234375,0.415625,0.4796875
5,7,Area x Depth,LM_140um,0.426971975393028,0.017446675517965426,0.3296103896103896,278,20,LM,140.0,,0.3734375,0.3921875,0.51875
5,7,Area x Depth,LM_280um,0.4458646616541354,0.03626543949516918,0.3255023923444976,367,20,LM,280.0,,0.4109375,0.4375,0.484375
5,7,Area x Depth,LM_420um,0.49881066302118937,0.027914713767222005,0.33438824333561173,258,20,LM,420.0,,0.4859375,0.4625,0.5453125
5,7,Area x Depth,LM_560um,0.4212508544087491,0.028781684903500634,0.33438824333561173,163,20,LM,560.0,,0.3671875,0.4171875,0.4671875
5,7,Area x Depth,RL_140um,0.42394395078605607,0.009458803592316666,0.32181818181818184,269,20,RL,140.0,,0.4,0.3859375,0.4921875
5,7,Area x Depth,RL_280um,0.4327751196172248,0.030782484929505187,0.3380997949419002,305,20,RL,280.0,,0.4359375,0.365625,0.5046875
5,7,Area x Depth,RL_420um,0.44425837320574163,0.02728845756207681,0.3213738892686261,190,20,RL,420.0,,0.4453125,0.3828125,0.5078125
5,7,Area x Depth,RL_560um,0.3796103896103896,0.040970625444306095,0.33390977443609027,128,20,RL,560.0,,0.3625,0.3328125,0.4515625
5,7,Area x Depth,V1_140um,0.44475734791524263,0.01990610415290914,0.33021189336978807,1714,20,V1,140.0,,0.396875,0.4484375,0.484375
5,7,Area x Depth,V1_280um,0.44317840054682167,0.021805203365082643,0.32083390293916614,1782,20,V1,280.0,,0.4328125,0.359375,0.55
5,7,Area x Depth,V1_420um,0.462488038277512,0.02621536439051831,0.34842788790157203,1325,20,V1,420.0,,0.4640625,0.3765625,0.5390625
5,7,Area x Depth,V1_560um,0.41297334244702666,0.030441737272912883,0.3203964456596035,956,20,V1,560.0,,0.33125,0.36875,0.5484375
5,7,CellType,23P,0.4780382775119617,0.015308938807006478,0.3505126452494874,380,75,,,23P,0.4828125,0.41875,0.528125
5,7,CellType,4P,0.4932125768967873,0.013261244698395713,0.3229186602870813,505,75,,,4P,0.4984375,0.425,0.5515625
5,7,CellType,5P-IT,0.5463294600136706,0.022951820891008327,0.3431920710868079,216,75,,,5P-IT,0.575,0.475,0.590625
5,7,CellType,5P-ET,0.4504921394395079,0.01773429998709222,0.3250375939849624,55,20,,,5P-ET,0.4296875,0.4203125,0.496875
