session,scan,Type,Group,Acc,Std,Chance,N_neurons,N_sub,brain_area,depth_bin,cell_type,recall_Cinematic,recall_Rendered,recall_sports1m
7,3,Area,AL,0.5776281613123718,0.004778709279700753,0.3359671907040328,324,291,AL,,,0.571875,0.5296875,0.63125
7,3,Area,LM,0.6489815447710185,0.017754781892251797,0.3146001367053999,1135,291,LM,,,0.65,0.6171875,0.684375
7,3,Area,RL,0.5964593301435407,0.004968286888146718,0.3297197539302802,850,291,RL,,,0.6234375,0.55625,0.6046875
7,3,Area,V1,0.599958988380041,0.03107145183118613,0.3515652768284347,6309,291,V1,,,0.6359375,0.5578125,0.6109375
7,3,Depth,190um,0.6499384825700616,0.026017702602166518,0.3363978127136022,2515,1248,,190.0,,0.646875,0.5703125,0.73125
7,3,Depth,330um,0.6624880382775119,0.014375315457940071,0.3238619275461381,2571,1248,,330.0,,0.7046875,0.5984375,0.6875
7,3,Depth,405um,0.7192481203007519,0.013827387972655147,0.33901572112098427,1901,1248,,405.0,,0.7125,0.696875,0.753125
7,3,Depth,470um,0.6764798359535202,0.010058730928596344,0.3292071086807929,1631,1248,,470.0,,0.675,0.60625,0.7375
7,3,Area x Depth,AL_190um,0.46771018455228985,0.02190951304206955,0.3301845522898154,102,20,AL,190.0,,0.471875,0.425,0.4953125
7,3,Area x Depth,AL_330um,0.43224880382775116,0.03098896580376056,0.3312508544087491,105,20,AL,330.0,,0.475,0.346875,0.4734375
7,3,Area x Depth,AL_405um,0.47335611756664386,0.04742181357722357,0.32344497607655504,71,20,AL,405.0,,0.5203125,0.371875,0.5328125
7,3,Area x Depth,AL_470um,0.47801777170198223,0.02366956786978335,0.34123718386876284,46,20,AL,470.0,,0.5328125,0.409375,0.4921875
7,3,Area x Depth,LM_190um,0.4474504442925496,0.03774333473132968,0.3442925495557075,324,20,LM,190.0,,0.4359375,0.384375,0.5265625
7,3,Area x Depth,LM_330um,0.4797676008202324,0.011078810897283381,0.34789473684210526,351,20,LM,330.0,,0.53125,0.415625,0.49375
7,3,Area x Depth,LM_405um,0.4983185235816815,0.029913943569618035,0.3228913192071087,274,20,LM,405.0,,0.4625,0.4875,0.546875
7,3,Area x Depth,LM_470um,0.5452973342447026,0.029567584586197012,0.34630895420369107,186,20,LM,470.0,,0.5984375,0.4390625,0.603125
7,3,Area x Depth,RL_190um,0.4176965140123034,0.014579174242242627,0.3447368421052632,276,20,RL,190.0,,0.4578125,0.35625,0.446875
7,3,Area x Depth,RL_330um,0.4655980861244019,0.011063610324833833,0.3588038277511962,270,20,RL,330.0,,0.4953125,0.3828125,0.51875
7,3,Area x Depth,RL_405um,0.45528366370471635,0.013665576679310617,0.36088174982911825,170,20,RL,405.0,,0.4953125,0.434375,0.446875
7,3,Area x Depth,RL_470um,0.48437457279562535,0.03101049378374175,0.32186602870813397,134,20,RL,470.0,,0.5421875,0.4171875,0.4921875
7,3,Area x Depth,V1_190um,0.4531373889268626,0.03117473202647838,0.3255570745044429,1813,20,V1,190.0,,0.4578125,0.3875,0.5125
7,3,Area x Depth,V1_330um,0.4708749145591251,0.029989558394227886,0.3374846206425154,1845,20,V1,330.0,,0.5171875,0.396875,0.50625
7,3,Area x Depth,V1_405um,0.4984005468215994,0.02407128812302404,0.32550922761449075,1386,20,V1,405.0,,0.5046875,0.41875,0.5734375
7,3,Area x Depth,V1_470um,0.5119480519480519,0.02670322777913422,0.3331852358168148,1265,20,V1,470.0,,0.521875,0.4484375,0.5578125
7,3,CellType,23P,0.48386876281613117,0.016514046253467626,0.34585099111414896,401,75,,,23P,0.4796875,0.45,0.5125
7,3,CellType,4P,0.517676008202324,0.020500789998430753,0.32447026657552974,365,75,,,4P,0.5296875,0.490625,0.5296875
7,3,CellType,5P-IT,0.5271086807928913,0.02926496241934883,0.32814764183185235,171,75,,,5P-IT,0.5625,0.4765625,0.5359375
7,3,CellType,5P-ET,0.5026794258373206,0.02877888622178494,0.3260492139439508,111,20,,,5P-ET,0.496875,0.4734375,0.5328125
