session,scan,Type,Group,Acc,Std,Chance,N_neurons,N_sub,brain_area,depth_bin,cell_type,recall_Cinematic,recall_Rendered,recall_sports1m
8,5,Area,AL,0.6260423786739576,0.014022302752354906,0.3208749145591251,347,291,AL,,,0.63125,0.5390625,0.70625
8,5,Area,LM,0.7011483253588515,0.030556260889306294,0.3478673957621326,1305,291,LM,,,0.7109375,0.65625,0.7328125
8,5,Area,RL,0.6407723855092275,0.022914940644317518,0.32236500341763497,1066,291,RL,,,0.671875,0.5859375,0.659375
8,5,Area,V1,0.661038961038961,0.006271411436482651,0.3344155844155844,7223,291,V1,,,0.6796875,0.6265625,0.678125
8,5,Depth,210um,0.7537593984962406,0.00425843354878913,0.33641148325358855,2745,1248,,210.0,,0.7796875,0.7078125,0.7734375
8,5,Depth,220um,0.7442925495557076,0.007094964157485489,0.3124333561175667,2773,1248,,220.0,,0.7890625,0.68125,0.765625
8,5,Depth,350um,0.7683321941216679,0.004989681550894986,0.3312576896787423,2726,1248,,350.0,,0.8234375,0.70625,0.771875
8,5,Depth,490um,0.7547778537252222,0.0087686524252959,0.349501025290499,1697,1248,,490.0,,0.7890625,0.6984375,0.7796875
8,5,Area x Depth,AL_210um,0.46200956937799037,0.022017524024967167,0.3379904306220095,104,20,AL,210.0,,0.4296875,0.4125,0.5359375
8,5,Area x Depth,AL_220um,0.48177717019822286,0.02980457855859568,0.36092959671907043,95,20,AL,220.0,,0.4828125,0.4390625,0.5234375
8,5,Area x Depth,AL_350um,0.5376144907723855,0.024356672996732782,0.3438209159261791,96,20,AL,350.0,,0.503125,0.4890625,0.6140625
8,5,Area x Depth,AL_490um,0.48803827751196166,0.03636319952044897,0.32869446343130554,52,20,AL,490.0,,0.5296875,0.4546875,0.48125
8,5,Area x Depth,LM_210um,0.492822966507177,0.00807441854592829,0.34844839371155156,370,20,LM,210.0,,0.4625,0.4546875,0.565625
8,5,Area x Depth,LM_220um,0.4933082706766917,0.0422394378836124,0.32133287764866714,367,20,LM,220.0,,0.475,0.4796875,0.528125
8,5,Area x Depth,LM_350um,0.5282228298017773,0.05493994006840884,0.33128503075871496,363,20,LM,350.0,,0.5609375,0.5421875,0.4859375
8,5,Area x Depth,LM_490um,0.5198838004101163,0.028472615598062835,0.35040328092959677,205,20,LM,490.0,,0.534375,0.4984375,0.5296875
8,5,Area x Depth,RL_210um,0.47914559125085443,0.0284868715115057,0.3242788790157211,305,20,RL,210.0,,0.5375,0.4015625,0.503125
8,5,Area x Depth,RL_220um,0.4756185919343814,0.027252227463109572,0.32762132604237865,320,20,RL,220.0,,0.51875,0.371875,0.5359375
8,5,Area x Depth,RL_350um,0.5543472317156528,0.01598756939326547,0.3384825700615174,293,20,RL,350.0,,0.6171875,0.465625,0.5859375
8,5,Area x Depth,RL_490um,0.509419002050581,0.026382872482809794,0.32711551606288447,148,20,RL,490.0,,0.5390625,0.4078125,0.5828125
8,5,Area x Depth,V1_210um,0.4730006835269993,0.03536819294536721,0.3354818865345181,1966,20,V1,210.0,,0.5015625,0.425,0.490625
8,5,Area x Depth,V1_220um,0.49800410116199584,0.023601887387763858,0.33264524948735474,1991,20,V1,220.0,,0.503125,0.45,0.5375
8,5,Area x Depth,V1_350um,0.5241011619958988,0.01085361241958883,0.3119890635680109,1974,20,V1,350.0,,0.5484375,0.45,0.571875
8,5,Area x Depth,V1_490um,0.49950786056049223,0.018161977364290784,0.3417361585782638,1292,20,V1,490.0,,0.4828125,0.4640625,0.5484375
8,5,CellType,23P,0.5428024606971975,0.024346859438135474,0.3365618591934381,892,75,,,23P,0.56875,0.4828125,0.578125
8,5,CellType,4P,0.5798017771701982,0.03383159676649431,0.33436090225563914,460,75,,,4P,0.6171875,0.553125,0.5671875
8,5,CellType,5P-IT,0.5918318523581682,0.024622944235245928,0.3420710868079289,106,75,,,5P-IT,0.628125,0.5171875,0.625
8,5,CellType,5P-ET,0.5339986329460014,0.021612248215408653,0.3162200956937799,91,20,,,5P-ET,0.55625,0.4671875,0.5796875
