session,scan,Type,Group,Acc,Std,Chance,N_neurons,N_sub,brain_area,depth_bin,cell_type,recall_Cinematic,recall_Rendered,recall_sports1m
6,7,Area,AL,0.5387901572112097,0.01053226168276689,0.32913192071086805,305,291,AL,,,0.5375,0.5203125,0.5484375
6,7,Area,LM,0.5603144224196857,0.01505363898867232,0.3229186602870814,960,291,LM,,,0.5921875,0.540625,0.55
6,7,Area,RL,0.49163362952836637,0.016469531631447237,0.334313055365687,814,291,RL,,,0.503125,0.4875,0.4875
6,7,Area,V1,0.522323991797676,0.034378536588750765,0.3432262474367738,5808,291,V1,,,0.5515625,0.4984375,0.5171875
6,7,Depth,100um,0.5806971975393028,0.007385331306018725,0.34529733424470266,1510,1248,,100.0,,0.6234375,0.5453125,0.5765625
6,7,Depth,240um,0.6249008885850991,0.012604590004911303,0.33282980177717014,2640,1248,,240.0,,0.6625,0.6125,0.5984375
6,7,Depth,380um,0.6441968557758031,0.012349753515342989,0.32284347231715654,2448,1248,,380.0,,0.678125,0.6015625,0.6515625
6,7,Depth,520um,0.5837662337662338,0.008617944622093067,0.32870813397129184,1289,1248,,520.0,,0.6046875,0.5484375,0.5953125
6,7,Area x Depth,AL_240um,0.4254613807245387,0.019590639815336288,0.3313123718386876,122,20,AL,240.0,,0.4140625,0.396875,0.4765625
6,7,Area x Depth,AL_380um,0.4165345181134654,0.032413844880327995,0.3364388243335612,110,20,AL,380.0,,0.478125,0.3390625,0.43125
6,7,Area x Depth,AL_520um,0.44372522214627474,0.021499989457911664,0.3432399179767601,57,20,AL,520.0,,0.440625,0.4140625,0.490625
6,7,Area x Depth,LM_100um,0.4015926179084074,0.028057526969524297,0.3374914559125085,72,20,LM,100.0,,0.3734375,0.4328125,0.4015625
6,7,Area x Depth,LM_240um,0.38542036910457966,0.0384698480432177,0.3391045796308954,354,20,LM,240.0,,0.4125,0.4109375,0.3328125
6,7,Area x Depth,LM_380um,0.4441968557758031,0.014810161061344175,0.34885167464114825,366,20,LM,380.0,,0.5203125,0.365625,0.453125
6,7,Area x Depth,LM_520um,0.43174982911825016,0.030954159949875378,0.3343882433356118,168,20,LM,520.0,,0.434375,0.4,0.453125
6,7,Area x Depth,RL_100um,0.36767600820232393,0.02125392445220187,0.34218045112781953,90,20,RL,100.0,,0.3578125,0.3171875,0.428125
6,7,Area x Depth,RL_240um,0.4073410799726589,0.020716714455377257,0.3437388926862611,320,20,RL,240.0,,0.434375,0.3796875,0.409375
6,7,Area x Depth,RL_380um,0.42546821599453183,0.028044833738957147,0.3182843472317157,271,20,RL,380.0,,0.4359375,0.4015625,0.440625
6,7,Area x Depth,RL_520um,0.38168831168831174,0.034226507281975856,0.3312576896787423,133,20,RL,520.0,,0.3953125,0.3703125,0.3765625
6,7,Area x Depth,V1_100um,0.3895557074504443,0.031687758787403715,0.35779904306220095,1332,20,V1,100.0,,0.4265625,0.303125,0.4484375
6,7,Area x Depth,V1_240um,0.40306220095693784,0.009835775393030084,0.33172248803827753,1844,20,V1,240.0,,0.4078125,0.390625,0.4078125
6,7,Area x Depth,V1_380um,0.46914559125085437,0.015247837425559503,0.3218045112781955,1701,20,V1,380.0,,0.5015625,0.3625,0.5375
6,7,Area x Depth,V1_520um,0.4166028708133972,0.037395426676887764,0.32029391660970613,931,20,V1,520.0,,0.459375,0.3171875,0.4640625
6,7,CellType,23P,0.45096377306903623,0.02067800112223064,0.34542720437457275,761,75,,,23P,0.4609375,0.403125,0.496875
6,7,CellType,4P,0.47760765550239237,0.023674748741024633,0.3264866712235134,227,75,,,4P,0.53125,0.4140625,0.4890625
6,7,CellType,5P-IT,0.45155844155844155,0.012413076140444474,0.35574162679425836,337,75,,,5P-IT,0.515625,0.384375,0.4515625
6,7,CellType,5P-ET,0.4155297334244703,0.018119920437694722,0.35367053998632947,56,20,,,5P-ET,0.475,0.3625,0.4125
