session,scan,Type,Group,Acc,Std,Chance,N_neurons,N_sub,brain_area,depth_bin,cell_type,recall_Cinematic,recall_Rendered,recall_sports1m
6,2,Area,AL,0.578714969241285,0.017088002733239845,0.34529733424470266,317,291,AL,,,0.5984375,0.5078125,0.625
6,2,Area,LM,0.6255160628844839,0.025475846285535692,0.3307450444292549,978,291,LM,,,0.615625,0.6203125,0.634375
6,2,Area,RL,0.5359535201640464,0.026233085903647757,0.32870129870129866,861,291,RL,,,0.5828125,0.48125,0.5421875
6,2,Area,V1,0.5875461380724538,0.024371496154919778,0.34014354066985647,6002,291,V1,,,0.596875,0.565625,0.6109375
6,2,Depth,130um,0.6427136021872863,0.008311626479246237,0.3176828434723172,2316,1248,,130.0,,0.66875,0.6234375,0.646875
6,2,Depth,270um,0.6657074504442925,0.011604722429888767,0.3374709501025291,2646,1248,,270.0,,0.640625,0.64375,0.7171875
6,2,Depth,410um,0.6990635680109365,0.012701222851719469,0.3240054682159945,2010,1248,,410.0,,0.6984375,0.671875,0.73125
6,2,Area x Depth,AL_130um,0.435311004784689,0.020731852780827287,0.3224128503075871,74,20,AL,130.0,,0.5125,0.3390625,0.45
6,2,Area x Depth,AL_270um,0.4433697881066302,0.024789470960807546,0.3328366370471634,103,20,AL,270.0,,0.4953125,0.371875,0.4640625
6,2,Area x Depth,AL_410um,0.47704716336295283,0.020870829559646448,0.3468626110731374,98,20,AL,410.0,,0.4421875,0.44375,0.540625
6,2,Area x Depth,AL_550um,0.4323034859876965,0.033005121623646966,0.3578127136021873,42,20,AL,550.0,,0.4859375,0.3765625,0.4234375
6,2,Area x Depth,LM_130um,0.4437457279562542,0.029470248938419336,0.32701982228298015,186,20,LM,130.0,,0.4828125,0.4140625,0.434375
6,2,Area x Depth,LM_270um,0.48854408749145595,0.024010070682970393,0.3089747095010253,354,20,LM,270.0,,0.4765625,0.4125,0.5671875
6,2,Area x Depth,LM_410um,0.49951469583048524,0.029752191184735807,0.335974025974026,276,20,LM,410.0,,0.5328125,0.45625,0.5125
6,2,Area x Depth,LM_550um,0.4421462747778538,0.016268149363694983,0.3380109364319891,162,20,LM,550.0,,0.5234375,0.3828125,0.4265625
6,2,Area x Depth,RL_130um,0.4264798359535201,0.01695734469220726,0.3531305536568694,242,20,RL,130.0,,0.45625,0.353125,0.45625
6,2,Area x Depth,RL_270um,0.4301845522898155,0.018310952210520353,0.32646616541353385,289,20,RL,270.0,,0.45625,0.3671875,0.4640625
6,2,Area x Depth,RL_410um,0.4401093643198906,0.021705223088350777,0.32546821599453174,217,20,RL,410.0,,0.5390625,0.34375,0.4484375
6,2,Area x Depth,RL_550um,0.4032262474367737,0.034865080763672764,0.31550922761449074,113,20,RL,550.0,,0.4046875,0.3546875,0.4515625
6,2,Area x Depth,V1_130um,0.4265892002734108,0.02431472809491201,0.3359740259740259,1814,20,V1,130.0,,0.459375,0.3890625,0.434375
6,2,Area x Depth,V1_270um,0.46100478468899525,0.020276146105923792,0.34378673957621325,1900,20,V1,270.0,,0.4921875,0.4046875,0.490625
6,2,Area x Depth,V1_410um,0.470416951469583,0.04400264504638622,0.3385030758714969,1419,20,V1,410.0,,0.4421875,0.459375,0.50625
6,2,Area x Depth,V1_550um,0.4005468215994532,0.026774381637998897,0.35575529733424477,869,20,V1,550.0,,0.38125,0.39375,0.4234375
6,2,CellType,23P,0.4620232399179767,0.019352222292160045,0.3136158578263841,455,75,,,23P,0.5046875,0.4296875,0.4515625
6,2,CellType,4P,0.4858988380041011,0.03108088737204656,0.34906356801093646,482,75,,,4P,0.4828125,0.459375,0.5234375
6,2,CellType,5P-IT,0.5276008202323992,0.024046598355124075,0.32079972658920025,252,75,,,5P-IT,0.578125,0.4609375,0.5421875
6,2,CellType,5P-ET,0.48248803827751197,0.03693429523182587,0.3188516746411483,26,20,,,5P-ET,0.578125,0.4171875,0.453125
