session,scan,Type,Group,Acc,Std,Chance,N_neurons,N_sub,brain_area,depth_bin,cell_type,recall_Cinematic,recall_Rendered,recall_sports1m
5,6,Area,AL,0.5907313738892686,0.008949516912985778,0.3166780587833219,468,291,AL,,,0.5734375,0.515625,0.68125
5,6,Area,LM,0.6365755297334245,0.013394851732153946,0.35931647300068353,1158,291,LM,,,0.6515625,0.5828125,0.6734375
5,6,Area,RL,0.6177306903622695,0.008557075569126686,0.32652768284347233,952,291,RL,,,0.625,0.54375,0.6890625
5,6,Area,V1,0.6136842105263158,0.03774995050635098,0.3494873547505127,6014,291,V1,,,0.61875,0.5578125,0.665625
5,6,Depth,150um,0.7021941216678058,0.01304418469584317,0.34529733424470266,2454,1248,,150.0,,0.74375,0.6171875,0.7484375
5,6,Depth,290um,0.7125768967874231,0.013005473083703123,0.3301708817498291,2643,1248,,290.0,,0.7734375,0.6171875,0.7453125
5,6,Depth,430um,0.755311004784689,0.005890027945827429,0.3274914559125085,1923,1248,,430.0,,0.79375,0.6828125,0.790625
5,6,Depth,570um,0.6377238550922761,0.010065718943557801,0.31824333561175666,1572,1248,,570.0,,0.675,0.5375,0.703125
5,6,Area x Depth,AL_150um,0.498051948051948,0.015478906190646373,0.3198222829801777,123,20,AL,150.0,,0.421875,0.44375,0.60625
5,6,Area x Depth,AL_290um,0.49693779904306223,0.024538691626401998,0.3150786056049214,163,20,AL,290.0,,0.428125,0.4375,0.628125
5,6,Area x Depth,AL_430um,0.4960013670539986,0.028518299541756532,0.33427887901572106,101,20,AL,430.0,,0.46875,0.425,0.609375
5,6,Area x Depth,AL_570um,0.42047846889952156,0.010441496335097545,0.34065618591934377,81,20,AL,570.0,,0.3234375,0.4203125,0.5109375
5,6,Area x Depth,LM_150um,0.4413465481886534,0.033552156352869976,0.3249419002050581,313,20,LM,150.0,,0.39375,0.415625,0.5296875
5,6,Area x Depth,LM_290um,0.490663021189337,0.024808380563472565,0.3311825017088175,376,20,LM,290.0,,0.475,0.4640625,0.5359375
5,6,Area x Depth,LM_430um,0.5604853041695147,0.040667101579900694,0.3332125768967874,273,20,LM,430.0,,0.5703125,0.5359375,0.5875
5,6,Area x Depth,LM_570um,0.4547368421052632,0.0362702548563543,0.33899521531100485,196,20,LM,570.0,,0.4578125,0.4125,0.5015625
5,6,Area x Depth,RL_150um,0.45056732740943267,0.02692740364586952,0.3233561175666439,276,20,RL,150.0,,0.3984375,0.3890625,0.5546875
5,6,Area x Depth,RL_290um,0.492282980177717,0.03581979137448853,0.34689678742310326,308,20,RL,290.0,,0.484375,0.4171875,0.5765625
5,6,Area x Depth,RL_430um,0.49438140806561853,0.025906859950781787,0.33436773752563226,197,20,RL,430.0,,0.5015625,0.4203125,0.559375
5,6,Area x Depth,RL_570um,0.40421052631578946,0.005937422568029845,0.32344497607655504,171,20,RL,570.0,,0.3359375,0.403125,0.4703125
5,6,Area x Depth,V1_150um,0.4277443609022556,0.04260649959853118,0.3510868079289132,1742,20,V1,150.0,,0.3859375,0.3890625,0.509375
5,6,Area x Depth,V1_290um,0.4853998632946001,0.01907489100186611,0.31187286397812714,1796,20,V1,290.0,,0.4875,0.421875,0.5484375
5,6,Area x Depth,V1_430um,0.4990293916609706,0.025155173592861003,0.3302187286397813,1352,20,V1,430.0,,0.5328125,0.375,0.5890625
5,6,Area x Depth,V1_570um,0.4380997949419002,0.02733734936954567,0.32343814080656186,1124,20,V1,570.0,,0.39375,0.3515625,0.5640625
5,6,CellType,23P,0.5165960355434039,0.021828706280862493,0.31987696514012304,328,75,,,23P,0.53125,0.4703125,0.55
5,6,CellType,4P,0.5146411483253589,0.0352547867095662,0.3291182501708818,489,75,,,4P,0.5078125,0.45625,0.578125
5,6,CellType,5P-IT,0.5578400546821598,0.01586761370958249,0.3442447026657553,244,75,,,5P-IT,0.565625,0.5125,0.59375
5,6,CellType,5P-ET,0.5073957621326042,0.021372344883361608,0.34335611756664386,80,20,,,5P-ET,0.55,0.396875,0.578125
