session,plane,depth (um),pt_supervoxel_id,nwb_x,nwb_y,nwb_z,visual_area,layer,classification_system,cell_type
ses-4-scan-7,2,80,99295864782346560,251239.0,102403.0,18628.0,RL,L2/3,,
ses-4-scan-7,2,80,89656171396455904,181070.0,108519.0,17977.0,V1,L2/3,,
ses-4-scan-7,2,80,100491721049636800,259838.0,99493.0,18366.0,RL,L2/3,,
ses-4-scan-7,2,80,91203528256750544,192160.0,102688.0,21040.0,V1,L2/3,,
ses-4-scan-7,2,80,90360065131183600,186250.0,109993.0,19294.0,V1,L2/3,,
ses-4-scan-7,2,80,95847865238788752,226168.0,102715.0,20445.0,V1,L2/3,,
ses-4-scan-7,4,220,114146349729267648,359328.0,122528.0,17658.0,RL,L4,,
ses-4-scan-7,4,220,114287430882270560,360448.0,124848.0,18302.0,RL,L4,,
ses-4-scan-7,4,220,115623132022390272,370176.0,115104.0,23172.0,RL,L4,,
ses-4-scan-7,4,220,115623201144775520,370048.0,115568.0,26490.0,RL,L4,,
ses-4-scan-7,4,220,113302405701400912,353136.0,126096.0,16775.0,RL,L4,,
ses-4-scan-7,4,220,111965055964811344,343376.0,123312.0,16888.0,RL,L4,,
ses-4-scan-7,4,220,111402449675287040,339216.0,126000.0,16917.0,RL,L4,,
ses-4-scan-7,4,220,111965193537510384,343568.0,124400.0,17524.0,RL,L4,,
ses-4-scan-7,4,220,113724000429496592,356316.0,121523.0,22507.0,RL,L4,,
ses-4-scan-7,4,220,113160294964122352,352208.0,115616.0,25277.0,RL,L4,,
ses-4-scan-7,4,220,110557887306335008,333104.0,124976.0,17014.0,RL,L4,,
ses-4-scan-7,4,220,110347193524762592,331472.0,128048.0,17961.0,RL,L4,,
ses-4-scan-7,4,220,111121112138066848,337248.0,126832.0,17387.0,RL,L4,,
ses-4-scan-7,4,220,110558368409667936,332864.0,128272.0,17455.0,RL,L4,,
ses-4-scan-7,4,220,111261781107924848,338423.0,126374.0,18610.0,RL,L4,,
ses-4-scan-7,4,220,111754568542850272,341640.0,128079.0,19240.0,RL,L4,,
ses-4-scan-7,4,220,111543118914084128,340368.0,125520.0,20619.0,RL,L4,,
ses-4-scan-7,4,220,112176094014330656,345094.0,122962.0,20659.0,RL,L4,,
ses-4-scan-7,4,220,111823906830115664,342540.0,120301.0,21558.0,RL,L4,,
ses-4-scan-7,4,220,111683169409322064,341347.0,120053.0,22469.0,RL,L4,,
ses-4-scan-7,4,220,112457157076738368,346736.0,119952.0,23641.0,RL,L4,,
ses-4-scan-7,4,220,112316213564089584,345808.0,118032.0,24618.0,RL,L4,,
ses-4-scan-7,4,220,110346987232603088,331383.0,126232.0,17357.0,RL,L4,,
ses-4-scan-7,4,220,109713943412912192,326800.0,128624.0,17362.0,RL,L4,,
ses-4-scan-7,4,220,110277031073449184,330992.0,129728.0,19164.0,AL,L4,excitatory_neuron,23P
ses-4-scan-7,4,220,110065237914785392,329536.0,124560.0,21387.0,RL,L4,,
ses-4-scan-7,4,220,110557406873986416,332881.0,121354.0,21646.0,RL,L4,,
ses-4-scan-7,4,220,110136018975443664,329888.0,127440.0,21055.0,RL,L4,,
ses-4-scan-7,4,220,110979550753793280,335952.0,120896.0,22665.0,RL,L4,,
ses-4-scan-7,4,220,110416600733165648,332125.0,120638.0,22084.0,RL,L4,,
ses-4-scan-7,4,220,109783626102980816,327392.0,123152.0,25865.0,RL,L4,,
ses-4-scan-7,4,220,107954449662089568,313904.0,126304.0,15299.0,RL,L4,,
ses-4-scan-7,4,220,107180668353944976,308464.0,128224.0,15214.0,RL,L4,,
ses-4-scan-7,4,220,107250693567803952,309136.0,125840.0,15669.0,RL,L4,,
ses-4-scan-7,4,220,107743549923112176,312656.0,127744.0,17481.0,RL,L4,,
ses-4-scan-7,4,220,109572862662555680,325917.0,126044.0,19730.0,RL,L4,,
ses-4-scan-7,4,220,109432331466580512,324816.0,127312.0,20555.0,RL,L4,,
ses-4-scan-7,4,220,109924569212676672,328336.0,124640.0,21620.0,RL,L4,,
ses-4-scan-7,4,220,109431988070970224,325152.0,125008.0,22505.0,RL,L4,,
ses-4-scan-7,4,220,109643094303080848,326688.0,124864.0,22127.0,RL,L4,,
ses-4-scan-7,4,220,109291113277576976,323959.0,123873.0,23242.0,RL,L4,,
ses-4-scan-7,4,220,106969424883935552,306816.0,127472.0,16868.0,RL,L4,,
ses-4-scan-7,4,220,107040206079170592,307280.0,130272.0,17866.0,RL,L4,,
